Centers,prediction,features,input_weight,weight,dist,min(dist),"P_Row(prediction=1, Centers=DenseVector([191884.4637, 122096.8645]))","P_Row(prediction=4, Centers=DenseVector([190147.9228, 120567.3944]))","P_Row(prediction=2, Centers=DenseVector([191276.2827, 120629.2864]))","P_Row(prediction=3, Centers=DenseVector([190862.5751, 121574.8836]))","P_Row(prediction=0, Centers=DenseVector([192252.3747, 121477.4662]))"
"[191884.46368945824,122096.86446049548]",1,"[192059.92505690033,121879.55553366328]",1.0,40.0,279.30246,14.589914,0.0,2304.35791015625,1460.967041015625,1220.914794921875,431.1820983886719
"[191884.46368945824,122096.86446049548]",1,"[191232.34428823806,122266.19132396093]",1.0,40.0,673.74426,14.589914,0.0,2000.8209228515625,1622.9046630859375,769.3970336914062,1274.8089599609375
"[191884.46368945824,122096.86446049548]",1,"[192311.64879389244,122355.39275752334]",1.0,40.0,499.32355,14.589914,0.0,2792.302978515625,1998.2255859375,1631.3167724609375,865.3353271484375
"[191884.46368945824,122096.86446049548]",1,"[191451.2789485536,121949.0884781786]",1.0,40.0,457.69724,14.589914,0.0,1884.835205078125,1316.76318359375,682.9783325195312,915.0239868164062
"[191884.46368945824,122096.86446049548]",1,"[191595.79767106895,121759.33612458243]",1.0,40.0,444.13223,14.589914,0.0,1860.79443359375,1159.761962890625,741.4775390625,699.9337158203125
"[191884.46368945824,122096.86446049548]",1,"[191534.76611024124,122305.05253086942]",1.0,40.0,406.97748,14.589914,0.0,2208.648681640625,1680.9942626953125,977.8753662109375,1080.7918701171875
"[191884.46368945824,122096.86446049548]",1,"[191898.90540942491,122098.93866667326]",1.0,40.0,14.589914,14.589914,0.0,2311.687744140625,1581.5106201171875,1146.70849609375,700.37060546875
"[191884.46368945824,122096.86446049548]",1,"[192154.33722306628,122211.00626576509]",1.0,40.0,293.0189,14.589914,0.0,2579.086669921875,1794.5030517578125,1425.306396484375,725.4724731445312
"[191884.46368945824,122096.86446049548]",1,"[192180.91490354243,122221.48149848114]",1.0,40.0,321.5785,14.589914,0.0,2606.29931640625,1816.6513671875,1453.7794189453125,732.8492431640625
"[191884.46368945824,122096.86446049548]",1,"[191701.9824445314,122198.4031050315]",1.0,40.0,208.82887,14.589914,0.0,2238.250732421875,1611.24755859375,1031.0587158203125,892.4281005859375
"[191884.46368945824,122096.86446049548]",1,"[191689.21050198845,122581.03753906682]",1.0,40.0,522.0607,14.589914,0.0,2521.218994140625,1980.3642578125,1287.5897216796875,1224.3707275390625
"[191884.46368945824,122096.86446049548]",1,"[191943.05991973128,121907.74125126924]",1.0,40.0,197.99269,14.589914,0.0,2225.73291015625,1427.2972412109375,1116.0035400390625,515.3272705078125
"[191884.46368945824,122096.86446049548]",1,"[192015.81389049257,122485.68656904633]",1.0,40.0,410.40897,14.589914,0.0,2662.883056640625,1983.6912841796875,1454.941162109375,1021.0110473632812
"[191884.46368945824,122096.86446049548]",1,"[192096.57825044185,122305.53047792423]",1.0,40.0,297.54678,14.589914,0.0,2596.61181640625,1851.603759765625,1419.4981689453125,828.0031127929688
"[191884.46368945824,122096.86446049548]",1,"[191998.65324514007,121769.97265806649]",1.0,40.0,346.26218,14.589914,0.0,2192.534423828125,1335.5894775390625,1138.116943359375,372.6239929199219
"[191884.46368945824,122096.86446049548]",1,"[191410.76404050528,121903.87823457227]",1.0,40.0,511.50272,14.589914,0.0,1824.14794921875,1267.0767822265625,624.7445068359375,928.880126953125
"[191884.46368945824,122096.86446049548]",1,"[192180.83214040173,122382.5838277816]",1.0,40.0,411.6671,14.589914,0.0,2710.778564453125,1958.2916259765625,1531.43115234375,893.3507690429688
"[191884.46368945824,122096.86446049548]",1,"[191948.5153798458,122126.61975111865]",1.0,40.0,70.62575,14.589914,0.0,2367.28271484375,1626.7218017578125,1203.4737548828125,702.1602783203125
"[191884.46368945824,122096.86446049548]",1,"[192027.30960085863,121973.71247007209]",1.0,40.0,188.60373,14.589914,0.0,2332.711669921875,1525.385009765625,1216.535888671875,530.308837890625
"[191884.46368945824,122096.86446049548]",1,"[191568.8476952028,121750.8896850448]",1.0,40.0,468.3076,14.589914,0.0,1834.6500244140625,1144.5426025390625,713.2830200195312,721.5958862304688
"[191884.46368945824,122096.86446049548]",1,"[192205.33549480856,122347.09675244914]",1.0,40.0,406.90897,14.589914,0.0,2705.757080078125,1938.3594970703125,1534.3834228515625,856.3118896484375
"[191884.46368945824,122096.86446049548]",1,"[191397.3011343073,122126.37804065352]",1.0,40.0,488.05576,14.589914,0.0,1983.2529296875,1487.3851318359375,753.575439453125,1058.833251953125
"[191884.46368945824,122096.86446049548]",1,"[192088.60039508648,122373.31359176448]",1.0,40.0,343.65088,14.589914,0.0,2636.3671875,1909.3359375,1448.498779296875,896.1046142578125
"[191884.46368945824,122096.86446049548]",1,"[192079.7871861842,121798.8125411841]",1.0,40.0,356.35126,14.589914,0.0,2276.368408203125,1404.357177734375,1223.0487060546875,350.170166015625
"[191884.46368945824,122096.86446049548]",1,"[192238.0078441016,122198.95126220405]",1.0,40.0,367.98804,14.589914,0.0,2636.906494140625,1826.2694091796875,1495.79931640625,707.0381469726562
"[191884.46368945824,122096.86446049548]",1,"[191908.72702670854,122435.80319684814]",1.0,40.0,339.8061,14.589914,0.0,2552.77880859375,1899.434326171875,1340.25927734375,1003.4982299804688
"[191884.46368945824,122096.86446049548]",1,"[192236.29342735148,122503.0973721481]",1.0,40.0,537.40985,14.589914,0.0,2832.90673828125,2090.828857421875,1643.3251953125,1011.1672973632812
"[191884.46368945824,122096.86446049548]",1,"[191387.88985009087,121956.97504069043]",1.0,40.0,515.90173,14.589914,0.0,1847.788330078125,1317.7813720703125,634.9863891601562,973.9761352539062
"[191884.46368945824,122096.86446049548]",1,"[191962.7259183427,121735.68763091615]",1.0,40.0,369.55878,14.589914,0.0,2143.747314453125,1287.4576416015625,1097.250732421875,373.4496765136719
"[191884.46368945824,122096.86446049548]",1,"[192068.21746641296,122471.17928123791]",1.0,40.0,416.98566,14.589914,0.0,2689.4677734375,1990.3365478515625,1487.7147216796875,996.0433349609375
"[191884.46368945824,122096.86446049548]",1,"[192262.99236796127,122002.56963366276]",1.0,40.0,390.09674,14.589914,0.0,2541.431884765625,1676.41650390625,1449.6790771484375,510.620849609375
"[191884.46368945824,122096.86446049548]",1,"[192004.0040474774,121826.15620280564]",1.0,40.0,295.92712,14.589914,0.0,2228.06884765625,1386.1512451171875,1154.169189453125,413.5137023925781
"[191884.46368945824,122096.86446049548]",1,"[191650.0695987849,122425.52799256265]",1.0,40.0,403.6834,14.589914,0.0,2374.783447265625,1820.130859375,1144.6094970703125,1108.616455078125
"[191884.46368945824,122096.86446049548]",1,"[191699.21838092527,121609.71830170843]",1.0,40.0,521.17865,14.589914,0.0,1854.35546875,1053.1746826171875,822.7781982421875,554.1565551757812
"[191884.46368945824,122096.86446049548]",1,"[191973.45697025984,121738.54113533667]",1.0,40.0,369.20917,14.589914,0.0,2154.317626953125,1295.56201171875,1108.2823486328125,367.4509582519531
"[191884.46368945824,122096.86446049548]",1,"[191829.0577903031,121793.02530371677]",1.0,40.0,308.84955,14.589914,0.0,2065.887451171875,1273.76123046875,976.2049560546875,513.4013061523438
"[191884.46368945824,122096.86446049548]",1,"[191867.7470169504,121923.02953070367]",1.0,40.0,174.63686,14.589914,0.0,2175.28271484375,1407.9434814453125,1049.165771484375,574.02294921875
"[191884.46368945824,122096.86446049548]",1,"[191754.75251423602,121955.21032735756]",1.0,40.0,192.06999,14.589914,0.0,2108.599853515625,1395.022705078125,955.2703247070312,675.241455078125
"[191884.46368945824,122096.86446049548]",1,"[191810.35407837087,121834.67295365628]",1.0,40.0,272.464,14.589914,0.0,2075.786376953125,1303.8140869140625,968.1488037109375,553.722412109375
"[191884.46368945824,122096.86446049548]",1,"[191952.5235555995,122386.73357952009]",1.0,40.0,297.75198,14.589914,0.0,2547.94384765625,1868.4720458984375,1344.4862060546875,942.843017578125
"[192252.37470847243,121477.46620606212]",0,"[192079.92572413376,121140.7777117205]",1.0,21.0,378.28268,204.504,771.3583374023438,1810.7884521484375,748.1058349609375,1087.931884765625,0.0
"[192252.37470847243,121477.46620606212]",0,"[191817.84671635652,121339.53113883066]",1.0,21.0,455.89545,204.504,555.7536010742188,1635.2896728515625,688.658447265625,779.3326416015625,0.0
"[192252.37470847243,121477.46620606212]",0,"[192491.79602658996,121580.63048858843]",1.0,21.0,260.7018,204.504,592.5845336914062,2349.001220703125,1339.0400390625,1424.72705078125,0.0
"[192252.37470847243,121477.46620606212]",0,"[192327.38203076532,121855.29818779198]",1.0,21.0,385.20526,204.504,300.006591796875,2327.044677734375,1410.39990234375,1286.90185546875,0.0
"[192252.37470847243,121477.46620606212]",0,"[192539.791914528,120684.29768843719]",1.0,21.0,843.63794,204.504,1352.6729736328125,2190.22021484375,1060.2021484375,1694.49560546875,0.0
"[192252.37470847243,121477.46620606212]",0,"[192383.62703384444,121152.91681216034]",1.0,21.0,350.08496,204.504,863.2980346679688,2106.601806640625,1020.404296875,1373.99365234375,0.0
"[192252.37470847243,121477.46620606212]",0,"[192696.3622919679,121749.1506217245]",1.0,21.0,520.5165,204.504,678.7197875976562,2604.604736328125,1604.009765625,1637.544921875,0.0
"[192252.37470847243,121477.46620606212]",0,"[192450.43695157254,120864.00859471541]",1.0,21.0,644.63855,204.504,1152.0576171875,2117.03662109375,992.8817749023438,1535.2225341796875,0.0
"[192252.37470847243,121477.46620606212]",0,"[192389.8220013642,121205.98226156723]",1.0,21.0,304.29474,204.504,819.7313842773438,2126.570068359375,1049.5086669921875,1366.6646728515625,0.0
"[192252.37470847243,121477.46620606212]",0,"[191850.7784620847,121551.18962567093]",1.0,21.0,408.3071,204.504,342.2095642089844,1762.10986328125,881.75146484375,783.9833374023438,0.0
"[192252.37470847243,121477.46620606212]",0,"[192741.5020893896,121915.99932340307]",1.0,21.0,656.9299,204.504,671.4109497070312,2718.74560546875,1745.4954833984375,1705.1363525390625,0.0
"[192252.37470847243,121477.46620606212]",0,"[192647.12507385624,121874.59544699409]",1.0,21.0,559.946,204.504,589.8862915039062,2615.919189453125,1647.5228271484375,1605.0389404296875,0.0
"[192252.37470847243,121477.46620606212]",0,"[192087.64357057796,121346.40293131773]",1.0,21.0,210.50874,204.504,572.9756469726562,1885.800048828125,878.3452758789062,1041.6885986328125,0.0
"[192252.37470847243,121477.46620606212]",0,"[191955.59930168395,121225.29145664866]",1.0,21.0,389.44543,204.504,669.9671630859375,1719.1702880859375,699.2067260742188,943.0657958984375,0.0
"[192252.37470847243,121477.46620606212]",0,"[191736.1091581094,121288.09324737551]",1.0,21.0,549.90204,204.504,617.7611083984375,1539.5552978515625,598.905517578125,714.9036254882812,0.0
"[192252.37470847243,121477.46620606212]",0,"[191969.98546899835,121598.70473316485]",1.0,21.0,307.3149,204.504,300.94342041015625,1889.18017578125,987.5511474609375,903.1624755859375,0.0
"[192252.37470847243,121477.46620606212]",0,"[192187.25216360475,121852.20284093686]",1.0,21.0,380.35312,204.504,184.77760314941406,2205.806640625,1320.4189453125,1148.889892578125,0.0
"[192252.37470847243,121477.46620606212]",0,"[192112.396248844,121759.52995480514]",1.0,21.0,314.88718,204.504,202.6173858642578,2093.395751953125,1201.389404296875,1058.8831787109375,0.0
"[192252.37470847243,121477.46620606212]",0,"[192457.50404842527,121927.57539744931]",1.0,21.0,494.64767,204.504,393.0192565917969,2475.842529296875,1550.7276611328125,1428.9554443359375,0.0
"[192252.37470847243,121477.46620606212]",0,"[191635.6200381193,121264.81263817236]",1.0,21.0,652.3863,204.504,663.9620971679688,1438.5526123046875,525.5761108398438,628.4080200195312,0.0
"[192252.37470847243,121477.46620606212]",0,"[192124.60789275132,121637.14565794061]",1.0,21.0,204.504,204.504,314.1583251953125,2043.083984375,1112.85546875,1059.0635986328125,0.0
"[190862.57514576634,121574.88360903754]",3,"[191412.07525194966,121427.26200208218]",1.0,15.0,568.98376,76.56109,742.901123046875,1452.312255859375,732.8860473632812,0.0,765.2367553710938
"[190862.57514576634,121574.88360903754]",3,"[190229.39439013696,121746.88893724179]",1.0,15.0,656.1278,76.56109,1615.10595703125,1105.7437744140625,1454.7816162109375,0.0,1964.2813720703125
"[190862.57514576634,121574.88360903754]",3,"[191057.19628636248,121334.63526468744]",1.0,15.0,309.18707,76.56109,1048.3232421875,1113.16015625,662.0294189453125,0.0,1127.1217041015625
"[190862.57514576634,121574.88360903754]",3,"[191290.39197427357,121545.87379803433]",1.0,15.0,428.79926,76.56109,733.693115234375,1427.6522216796875,840.1348876953125,0.0,887.850830078125
"[190862.57514576634,121574.88360903754]",3,"[191156.87163276877,121434.26485373135]",1.0,15.0,326.16568,76.56109,907.5265502929688,1253.6427001953125,737.2259521484375,0.0,1019.79345703125
"[190862.57514576634,121574.88360903754]",3,"[190745.7954006597,121106.43742850889]",1.0,15.0,482.7829,76.56109,1432.5814208984375,728.4351806640625,636.9442749023438,0.0,1475.0328369140625
"[190862.57514576634,121574.88360903754]",3,"[190963.6139066007,121444.76528814902]",1.0,15.0,164.74103,76.56109,1051.799560546875,1121.40869140625,796.8045654296875,0.0,1212.614501953125
"[190862.57514576634,121574.88360903754]",3,"[191007.22723917142,121298.69420325826]",1.0,15.0,311.77686,76.56109,1109.4488525390625,1051.8021240234375,644.8941650390625,0.0,1181.3544921875
"[190862.57514576634,121574.88360903754]",3,"[189877.62905158487,122169.45621314575]",1.0,15.0,1150.4935,76.56109,1931.5860595703125,1548.1422119140625,2003.9088134765625,0.0,2396.951904296875
"[190862.57514576634,121574.88360903754]",3,"[190385.7412722765,121777.67926179398]",1.0,15.0,518.16656,76.56109,1455.7730712890625,1156.867919921875,1376.6663818359375,0.0,1814.06005859375
"[190862.57514576634,121574.88360903754]",3,"[191185.41662954818,121485.81557828945]",1.0,15.0,334.9026,76.56109,851.904052734375,1309.0401611328125,784.7744140625,0.0,990.4296875
"[190862.57514576634,121574.88360903754]",3,"[190924.56034536782,121529.9454765499]",1.0,15.0,76.56109,76.56109,1038.2535400390625,1160.2373046875,890.3388061523438,0.0,1252.2899169921875
"[190862.57514576634,121574.88360903754]",3,"[190327.8327714105,122010.76768652731]",1.0,15.0,689.8872,76.56109,1482.448974609375,1377.9814453125,1599.1619873046875,0.0,1920.5047607421875
"[190862.57514576634,121574.88360903754]",3,"[191205.8253603355,121494.92115708209]",1.0,15.0,352.44107,76.56109,830.5693969726562,1330.373046875,791.9363403320312,0.0,970.1337890625
"[190862.57514576634,121574.88360903754]",3,"[191169.0556740485,121815.84698648119]",1.0,15.0,389.86365,76.56109,692.0606689453125,1536.307861328125,1114.8345947265625,0.0,1058.375732421875
"[190147.92282583733,120567.39442823367]",4,"[189559.7121429562,120018.57718135524]",1.0,8.0,804.48254,185.48201,2932.810546875,0.0,1636.489501953125,1844.183349609375,2876.998779296875
"[190147.92282583733,120567.39442823367]",4,"[190224.86462289403,120003.0376126992]",1.0,8.0,569.57764,185.48201,2486.292724609375,0.0,1038.310302734375,1510.800537109375,2321.455810546875
"[190147.92282583733,120567.39442823367]",4,"[190481.9456604455,120725.80939945533]",1.0,8.0,369.6844,185.48201,1775.8565673828125,0.0,614.697998046875,745.0048828125,1737.9022216796875
"[190147.92282583733,120567.39442823367]",4,"[189765.1895375097,120692.3554046912]",1.0,8.0,402.61646,185.48201,2356.95166015625,0.0,1326.9267578125,1222.747802734375,2422.67626953125
"[190147.92282583733,120567.39442823367]",4,"[189987.68064965965,121273.1123977326]",1.0,8.0,723.6818,185.48201,1882.4525146484375,0.0,1255.0064697265625,739.9942016601562,2088.413330078125
"[190147.92282583733,120567.39442823367]",4,"[190334.3188722887,120560.31320596511]",1.0,8.0,186.5305,185.48201,1997.162841796875,0.0,759.003662109375,958.37451171875,1940.572509765625
"[190147.92282583733,120567.39442823367]",4,"[190557.27235780162,120561.0446481914]",1.0,8.0,409.39877,185.48201,1844.3404541015625,0.0,536.759521484375,873.3283081054688,1741.484619140625
"[190147.92282583733,120567.39442823367]",4,"[190272.39876314288,120704.90557577927]",1.0,8.0,185.48201,185.48201,1944.3778076171875,0.0,821.2459716796875,865.7886352539062,1939.8779296875
"[191276.28270778575,120629.286391429]",2,"[192108.41753226676,120524.22641266517]",1.0,17.0,838.7407,106.256615,1482.2476806640625,1854.7132568359375,0.0,1523.468505859375,857.7919921875
"[191276.28270778575,120629.286391429]",2,"[191221.1178338807,120538.47171891516]",1.0,17.0,106.256615,106.256615,1587.442138671875,967.3280639648438,0.0,990.4213256835938,1288.4481201171875
"[191276.28270778575,120629.286391429]",2,"[190720.1754119537,120687.33436334471]",1.0,17.0,559.12866,106.256615,1721.9508056640625,478.4301452636719,0.0,792.6434326171875,1617.67578125
"[191276.28270778575,120629.286391429]",2,"[190958.409362315,120653.75435107495]",1.0,17.0,318.81366,106.256615,1608.427978515625,708.81787109375,0.0,819.8445434570312,1427.642822265625
"[191276.28270778575,120629.286391429]",2,"[191274.92870418556,120934.66306360354]",1.0,17.0,305.37967,106.256615,1206.086669921875,1079.0823974609375,0.0,655.2667236328125,1011.79345703125
"[191276.28270778575,120629.286391429]",2,"[191446.0763590779,120984.55696233473]",1.0,17.0,393.76016,106.256615,1089.3233642578125,1257.2781982421875,0.0,723.779052734375,838.7706909179688
"[191276.28270778575,120629.286391429]",2,"[191429.02119069741,119900.88337565429]",1.0,17.0,744.24457,106.256615,2136.456298828125,1337.85205078125,0.0,1660.9835205078125,1672.373291015625
